Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,
299.994,488.699321623,0.701303898027,Liquid-Gas,Experimental,NIST,Authors: Haynes, W. M. Title: Measurements of densities and dielectric constants of liquid propane from 9 0 to 300 k at pressures to 35 mpa. Citation: J. Chem. Thermodyn.,1983,15, 419-424 (Derived),,,,,,,,,,,
300,489.465,0.121,Liquid-Gas,Experimental,NIST,Authors: Glos, S.;Kleinrahm, R.;Wagner, W. Title: Measurement of the (p,q,T) relation of propane, propylene, n-butane, and isobutane in the temperature range from (95 to 340) K at pressures up to 12 MPa using an accurate two-sinker densimeter Citation: J. Chem. Thermodyn.,2004,36, 1037-1059,,,,
303.133976258,485.8,0.2,Liquid-Gas,Experimental,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,
307.459158689,480.601944323,0.504682579576,Liquid-Gas,Experimental,NIST,Authors: Sage, B. H.;Schaafsma, J. G.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems: Pressure-Volume-Temperature Relations and Thermal Properties of Propane. Citation: Ind. Eng. Chem.,1934,26, 1218-1224,,,,,,,,,
308.132,476.8,0.5,Liquid-Gas,Experimental,NIST,Authors: van der Vet, A. P. Title: Density, Compressibility, Expansion of Light Hydrocarbons and of Light Hydrocarbon Blends Citation: Congr. Mondial Pet., Paris,1937,2, 515-21,,,,,,,,
308.141555,476.4,4.9,Liquid-Gas,Experimental,NIST,Authors: Tomlinson, J. R. Title: Liquid Densities of Ethane, Propane, and Ethane-Propane Mixtures Citation: Nat. Gas Processors Assoc. Tech. Publ.,1971, TP-1,,,,,,,,,,
310.90868888,472.2,0.07,Liquid-Gas,Experimental,NIST,Authors: Legatski, T.W.;Nelson, W.R.;Dean, M.R.;Fruit, L.R. Title: Densities of Liquefied Petroleum Gases, Citation: Ind. Eng. Chem.,1942,34, 1240-1243,,,,,,,
313.110064,467.44,0.434,Liquid-Gas,Experimental,NIST,Authors: Sliwinski, P. Title: The lorentz-lorenz function of gaseous and liquid ethane, propane and butane Citation: Z. Phys. Chem. (Munich),1969,63, 263-79,,,,,,,,,,
313.2987,466.5556312,0.326920499782,Liquid-Gas,Experimental,NIST,Authors: Defibaugh, D. R.;Moldover, M. R. Title: Compressed and saturated liquid densities for 18 halogenated organic compounds Citation: J. Chem. Eng. Data,1997,42, 160-168 (Derived),,,,,,,,,,
314.520974651,464.47,1.19,Liquid-Gas,Experimental,NIST,Authors: Abdulagatov, I. M.;Levina, L. N.;Zakar'yaev, Z. R.;Mamchenkova, O. N. Title: Thermodynamic properties of n-propane on the liquid-gas phase equilibrium curve near the critical point Citation: Zh. Prikl. Khim. (Leningrad),1996,69, 1625-1635,,,,,,,,
319.998,455.039257542,0.0753563446485,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191 (Derived),,,,,,,,,,,
320,455,0.28,Liquid-Gas,Experimental,NIST,Authors: Kayukawa, Y.;Hasumoto, M.;Kano, Y.;Watanabe, K. Title: Liquid-Phase Thermodynamic Properties for Propane (1), n-Butane (2), and Isobutane (3) Citation: J. Chem. Eng. Data,2005,50, 556-564,,,,,,
320,455.863574638,0.380400118949,Liquid-Gas,Experimental,NIST,Authors: Miyamoto, H.;Uematsu, M. Title: Saturated liquid densities of propane at T = (280 to 365) K Citation: J. Chem. Thermodyn.,2007,39, 225-229 (Derived),,,,,,,,,,
322.0163333,453,0,Liquid-Gas,Experimental,NIST,Authors: Carney, B. R. Title: Density of Liquified Petroleum Gas Hydrocarbons, Their Mixtures and Three Natural Gasolines Citation: Hydrocarbon Process.,1942,21,84,,,,,,,,,,
322.0163333,453,0.4,Liquid-Gas,Experimental,NIST,Authors: Carney, B. R. Title: Density of Liquified Petroleum Gas Hydrocarbons Citation: Hydrocarbon Process.,1942,21,274,,,,,,,,,,,
322.0163333,452.7,0,Liquid-Gas,Experimental,NIST,Authors: Legatski, T.W.;Nelson, W.R.;Dean, M.R.;Fruit, L.R. Title: Densities of Liquefied Petroleum Gases, Citation: Ind. Eng. Chem.,1942,34, 1240-1243,,,,,,,
323.126711011,454.3,0.3,Liquid-Gas,Experimental,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,
323.127,451.2,0.7,Liquid-Gas,Experimental,NIST,Authors: Dana, L. I.;Jenkins, A. C.;Burdick, H. E.;Timm, R. C. Title: Thermodynamic Properties of Butane, Isobutane, and Propane Citation: Refrig. Eng.,1926,12,387,,,,,,
326.813882155,442.48,1.1,Liquid-Gas,Experimental,NIST,Authors: Abdulagatov, I. M.;Levina, L. N.;Zakar'yaev, Z. R.;Mamchenkova, O. N. Title: Thermodynamic properties of n-propane on the liquid-gas phase equilibrium curve near the critical point Citation: Zh. Prikl. Khim. (Leningrad),1996,69, 1625-1635,,,,,,,,
327.58012168,438.3,0.9,Liquid-Gas,Experimental,NIST,Authors: Kahre, L. C. Title: Liquid Density of Light Hydrocarbon Mixtures Citation: J. Chem. Eng. Data,1973,18, 267-270,,,,,,,,,,,
327.89190389,444.833723378,0.457062326663,Liquid-Gas,Experimental,NIST,Authors: Sage, B. H.;Schaafsma, J. G.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems: Pressure-Volume-Temperature Relations and Thermal Properties of Propane. Citation: Ind. Eng. Chem.,1934,26, 1218-1224,,,,,,,,,
329.110943827,436.7,0.5,Liquid-Gas,Experimental,NIST,Authors: Holcomb, C. D.;Magee, J. W.;Haynes, W. M. Title: Density Measurements on Natural Gas Liquids Citation: Research Report RR-147,1995, Gas Processors Association Project No. 916, Tulsa OK,,,,,,,,,
332.7517,429.223357123,0.60754673925,Liquid-Gas,Experimental,NIST,Authors: Defibaugh, D. R.;Moldover, M. R. Title: Compressed and saturated liquid densities for 18 halogenated organic compounds Citation: J. Chem. Eng. Data,1997,42, 160-168 (Derived),,,,,,,,,,
